time,open,high,low,close,volume,closeTime,assetVolume,trades,buyBaseVolume,ignored
1658246400000 ,1540.52000000 ,1587.13000000 ,1534.79000000 ,1574.42000000 ,181985.75470000 ,1658253599999 ,284426989.61106500 ,202278 ,95416.92630000 ,149163834.63766200 
1658253600000 ,1574.61000000 ,1589.76000000 ,1558.04000000 ,1560.79000000 ,90498.04570000 ,1658260799999 ,142251664.59285800 ,118660 ,44636.81960000 ,70170433.22903100 
1658260800000 ,1560.78000000 ,1588.10000000 ,1548.17000000 ,1575.67000000 ,59936.28520000 ,1658267999999 ,93910341.04336400 ,82346 ,30747.65920000 ,48180196.46937300 
1658268000000 ,1575.68000000 ,1579.88000000 ,1526.01000000 ,1542.32000000 ,84758.02180000 ,1658275199999 ,131733741.23021400 ,89874 ,38019.78360000 ,59116320.60222800 
1658275200000 ,1542.33000000 ,1548.38000000 ,1510.47000000 ,1539.68000000 ,99778.86960000 ,1658282399999 ,152653750.29678800 ,102020 ,48833.95870000 ,74737110.25406800 
1658282400000 ,1539.69000000 ,1568.42000000 ,1536.27000000 ,1561.72000000 ,66289.12240000 ,1658289599999 ,102831248.26489400 ,72751 ,33743.09120000 ,52342959.54696200 
1658289600000 ,1561.72000000 ,1576.79000000 ,1553.01000000 ,1568.43000000 ,59901.70700000 ,1658296799999 ,93697160.76927200 ,66067 ,28903.17270000 ,45214965.65224800 
1658296800000 ,1568.42000000 ,1579.80000000 ,1528.76000000 ,1531.06000000 ,112452.72330000 ,1658303999999 ,175363084.31566400 ,101405 ,53061.88790000 ,82764837.39896600 
1658304000000 ,1531.05000000 ,1555.21000000 ,1526.67000000 ,1550.47000000 ,82135.06890000 ,1658311199999 ,126465054.95889100 ,84800 ,41968.40280000 ,64626038.10457500 
1658311200000 ,1550.47000000 ,1614.00000000 ,1547.58000000 ,1602.91000000 ,198235.87850000 ,1658318399999 ,314972325.59352800 ,213669 ,109966.14690000 ,174675604.47979500 
1658318400000 ,1602.90000000 ,1620.40000000 ,1583.00000000 ,1589.96000000 ,167013.75260000 ,1658325599999 ,267774428.09922800 ,190145 ,83530.03160000 ,133966494.93198300 
1658325600000 ,1589.97000000 ,1609.74000000 ,1587.71000000 ,1596.53000000 ,91629.36730000 ,1658332799999 ,146570564.25293200 ,113596 ,47626.54870000 ,76182176.68653500 
1658332800000 ,1596.52000000 ,1597.58000000 ,1538.00000000 ,1545.38000000 ,134232.47480000 ,1658339999999 ,209688793.49116000 ,163707 ,59362.34560000 ,92698550.75041000 
1658340000000 ,1545.39000000 ,1576.22000000 ,1545.06000000 ,1551.79000000 ,67066.85260000 ,1658347199999 ,104626967.89876400 ,85338 ,34644.09000000 ,54059493.81146400 
1658347200000 ,1551.79000000 ,1567.09000000 ,1484.23000000 ,1545.36000000 ,204642.76950000 ,1658354399999 ,311101409.59640200 ,224265 ,98349.82280000 ,149537686.66027000 
1658354400000 ,1545.36000000 ,1549.82000000 ,1506.68000000 ,1521.58000000 ,67798.83820000 ,1658361599999 ,103587619.88933300 ,88537 ,32464.44880000 ,49608713.51152200 
1658361600000 ,1521.63000000 ,1554.70000000 ,1515.84000000 ,1530.48000000 ,87254.72690000 ,1658368799999 ,133724208.54810900 ,92362 ,43708.55160000 ,66996894.22609200 
1658368800000 ,1530.47000000 ,1538.58000000 ,1482.23000000 ,1487.96000000 ,111281.08350000 ,1658375999999 ,167191227.49194700 ,114701 ,51755.75780000 ,77736227.14399400 
1658376000000 ,1487.96000000 ,1496.50000000 ,1463.56000000 ,1492.09000000 ,110501.51060000 ,1658383199999 ,163704686.45424200 ,99061 ,54261.97730000 ,80398718.73468700 
1658383200000 ,1492.09000000 ,1497.74000000 ,1470.04000000 ,1488.01000000 ,77798.17990000 ,1658390399999 ,115643703.24388600 ,80023 ,39517.21390000 ,58763029.79382900 
1658390400000 ,1488.01000000 ,1517.08000000 ,1480.82000000 ,1511.19000000 ,113306.08240000 ,1658397599999 ,169696827.11687000 ,92363 ,62700.96940000 ,93936713.58085100 
1658397600000 ,1511.19000000 ,1520.95000000 ,1477.01000000 ,1489.19000000 ,112078.17370000 ,1658404799999 ,168090649.29242300 ,92852 ,53781.71240000 ,80701675.27133300 
1658404800000 ,1489.19000000 ,1515.66000000 ,1484.31000000 ,1504.92000000 ,115548.81520000 ,1658411999999 ,173427147.55317800 ,121166 ,58142.75870000 ,87272273.92986800 
1658412000000 ,1504.93000000 ,1514.77000000 ,1481.11000000 ,1511.01000000 ,91307.04470000 ,1658419199999 ,136884002.53296700 ,102273 ,45541.16320000 ,68302389.76283700 
1658419200000 ,1511.01000000 ,1570.00000000 ,1508.99000000 ,1536.23000000 ,175519.62530000 ,1658426399999 ,271525475.66507600 ,176678 ,93241.89420000 ,144175003.11482800 
1658426400000 ,1536.23000000 ,1580.00000000 ,1533.57000000 ,1578.85000000 ,83686.12040000 ,1658433599999 ,130220260.63754600 ,92465 ,45530.40200000 ,70874394.65011800 
1658433600000 ,1578.84000000 ,1605.98000000 ,1574.72000000 ,1589.32000000 ,97956.01240000 ,1658440799999 ,155662827.28503100 ,124109 ,52964.44480000 ,84174441.01739100 
1658440800000 ,1589.32000000 ,1590.77000000 ,1565.09000000 ,1575.45000000 ,71090.12130000 ,1658447999999 ,112062285.17648800 ,94377 ,34770.78430000 ,54807829.19570300 
1658448000000 ,1575.45000000 ,1595.92000000 ,1569.67000000 ,1576.01000000 ,59829.03140000 ,1658455199999 ,94745013.46103100 ,71439 ,30976.02430000 ,49056828.26800400 
1658455200000 ,1576.01000000 ,1579.00000000 ,1553.10000000 ,1561.45000000 ,53363.81690000 ,1658462399999 ,83516277.58028700 ,61620 ,25700.07080000 ,40216315.00963800 
